Объект;Планируемый адрес;Физический адрес;Юридический адрес;Контакты;Дата пуска;Дата закрытия;Ответственные;Статус;Инвентаризация;Последняя инвентаризация
RBS UB0501;м.Вінниця, просп.Юності, 43А;;;;31.01.2017;;Косій Д.В.;Эксплуатация;False;30.03.2018
RBS UB0521;м.Вінниця,вул.Козицького 51, магазин Монобренд;;;;27.12.2017;;Косій Д.В.;Эксплуатация;False;27.12.2017
RBS UB0623;м.Вiнниця, вул.Гонти, 96, власна вежа;RBS UB0623 м.Вiнниця, вул.Гонти, 96, власна вежа;;;28.04.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0634;м.Вiнниця, вул.Хмельницьке шосе, 145;RBS UB0634 м.Вiнниця, вул.Хмельницьке шосе, 145;;;27.05.2015;;Косій Д.В.;Эксплуатация;True;30.06.2015
RBS UB0641;м. Вінниця, вул. Космонавтів 30а;;;;30.12.2017;;Косій Д.В.;Эксплуатация;False;30.12.2017
RBS UB0705;м. Вінниця, вул.Космонавтів, 40, Укртелеком;;;;;;;Строящийся;False;
RBS UB0706;;RBS UB0706  м.Вiнниця, вул. Пугачова, 3;;;02.12.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0707;м.Вiнниця, вул. Революцiйна, 7;RBS UB0707 м.Вiнниця, вул. Революцiйна, 7;;;27.04.2015;20.12.2017;Косій Д.В.;Закрыт;False;12.06.2015
RBS UB0715;м.Вiнниця, вул.i.Богуна, 2, щогла на даху;RBS UB0715 ВiННИЦЯ (ВiННИЦЯ)510100000 м.Вiнниця, вул.i.Богуна, 2, щогла на даху;;;23.04.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0719;м.Вiнниця, вул. П.Тичини, 27, щогла на будiвлi;RBS UB0719 м.Вiнниця, вул. П.Тичини, 27, щогла на будiвлi;;;;;;Строящийся;False;
RBS UB0720;;RBS UB0720  м.Вiнниця, Немир?вське шосе, 76;;;18.11.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0721;м.Вiнниця, вул.Лугова, 2, димар;RBS UB0721 м.Вiнниця, вул.Лугова, 2, димар;;;27.09.2016;;Косій Д.В.;Эксплуатация;False;30.06.2017
RBS UB0723;м.Вiнниця;RBS UB0723 м.Вiнниця;;;29.04.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0724;;м. Вiнниця, вул. М.Вовчка, 4-б;;;27.03.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0725;м.Вiнниця, пл.Героїв Сталiнграду, 2;RBS UB0725 м.Вiнниця, пл.Героїв Сталiнграду, 2;;;20.05.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0726;;RBS UB0726;;;05.12.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0729;м. Вінниця, вул. П.Запорожця, 8;RBS UB0729 м. Вінниця, вул. П.Запорожця, 5;;;21.09.2017;;Косій Д.В.;Эксплуатация;False;21.09.2017
RBS UB0738;м.Вiнниця, вул. Д.Нечая, 7;RBS UB0738 м.Вiнниця, вул. Д.Нечая, 7;;;31.05.2013;;Косій Д.В.;Эксплуатация;False;30.06.2016
RBS UB0739;м.Вiнниця, вул. Лебединського, 11;RBS UB0739 м.Вiнниця, вул. Лебединського, 11;;;;;;Строящийся;False;
RBS UB0743;м.Вiнниця, вул.Маяковського, 132, димар;RBS UB0743 м.Вiнниця, вул.Маяковського, 132, димар;;;30.05.2014;;Косій Д.В.;Эксплуатация;False;30.03.2016
RBS UB0747;;RBS UB0747 м.Вінниця, вул. Левицького, 14;;;30.04.2015;;Косій Д.В.;Эксплуатация;False;30.06.2015
RBS UB0748;м.Вiнниця, вул.Некрасова, 46А, димар;RBS UB0748 м.Вiнниця, вул.Некрасова, 46А, димар;;;27.03.2013;;Косій Д.В.;Эксплуатация;False;30.06.2016
RBS UB0753;;RBS UB0753 м. Вінниця, вул. Нансена, 7;;;;;;Строящийся;False;
RBS UB0757;м.Вiнниця, Хмельницьке шосе, 82;RBS UB0757 м.Вiнниця, Хмельницьке шосе, 82;;;21.05.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0767;"м.Вiнниця, урочище ""Кабачок"", 12";"RBS UB0767 м.Вiнниця, урочище ""Кабачок"", 12";;;06.06.2013;;Косій Д.В.;Эксплуатация;False;30.06.2016
RBS UB0800;ВiННИЦЯ (ВiННИЦЯ)510100000;м.Вінниця, пл. Гагарина, 2;;;23.04.2015;;Косій Д.В.;Эксплуатация;False;30.09.2017
RBS UB0801;Винница;Винница, вул. Соборна, 10;;;04.06.2015;;Косій Д.В.;Эксплуатация;False;30.09.2015
RBS UB0802;Винница;RBS UB0802 м.В?нниця, Хмельницьке шосе, 15;;;04.09.2014;;Косій Д.В.;Эксплуатация;False;18.12.2014
RBS UB0803;Винница;RBS UB0803 Винница;;;02.09.2014;;Косій Д.В.;Эксплуатация;False;29.06.2018
RBS UB0804;Винница;RBS UB0804 Винница;;;03.09.2014;;Косій Д.В.;Эксплуатация;False;21.03.2017
RBS UB0805;Винница;RBS UB0805 Винница;;;10.09.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0806;;RBS UB0806;;;08.09.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0808;Винница;RBS UB0808 Винница;;;28.08.2014;;Косій Д.В.;Эксплуатация;False;25.08.2017
RBS UB0809;Vinnytsa;RBS UB0809 Vinnytsa;;;20.05.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0810;Vinnytsa;RBS UB0810 Vinnytsa;;;18.05.2015;;Косій Д.В.;Эксплуатация;False;17.06.2015
RBS UB0811;Vinnytsa;RBS UB0811 м.В?нниця, вул.К?рова, 16-б;;;26.08.2014;;Косій Д.В.;Эксплуатация;False;31.03.2016
RBS UB0812;Vinnytsa;RBS UB0812 Vinnytsa;;;24.11.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0813;Vinnytsa;RBS UB0813 Vinnytsa;;;26.05.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0815;м.Вiнниця, вул. Сонячна, 3;;;;06.06.2014;;Косій Д.В.;Эксплуатация;False;26.09.2014
RBS UB0815-;;м.В?нниця, вул. Сонячна, 3;;;;31.07.2009;;Закрыт;False;
RBS UB0817;Vinnytsa;RBS UB0817 Vinnytsa;;;29.08.2014;;Косій Д.В.;Эксплуатация;False;30.06.2017
RBS UB0818;ВiННИЦЯ (ВiННИЦЯ)510100000;RBS UB0818 ВiННИЦЯ (ВiННИЦЯ)510100000;;;19.03.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0819;ВiННИЦЯ (ВiННИЦЯ)510100000;RBS UB0819 ВiННИЦЯ (ВiННИЦЯ)510100000;;;12.09.2014;;Косій Д.В.;Эксплуатация;False;05.11.2017
RBS UB0820;ВiННИЦЯ (ВiННИЦЯ)510100000;RBS UB0820 ВiННИЦЯ (ВiННИЦЯ)510100000;;;08.05.2015;;Косій Д.В.;Эксплуатация;False;30.09.2017
RBS UB0821;;RBS UB0821 м.В?нниця, вул.Козицького, 51;;;24.03.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0826;;RBS UB0826 ВiННИЦЯ (ВiННИЦЯ)510100000 м.Вiнниця, вул.Пирогова, 87а, труба;;;05.06.2014;;Косій Д.В.;Эксплуатация;False;26.09.2014
RBS UB0845;м.Вiнниця, просп.Юностi, 81а;RBS UB0845 м.Вiнниця, просп.Юностi, 81а;;;08.12.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0847;м.Вiнниця, 1-й км Барського шосе;RBS UB0847 м.Вiнниця, 1-й км Барського шосе;;;26.11.2014;;Косій Д.В.;Эксплуатация;False;18.08.2017
RBS UB0901;Vinnytsa;RBS UB0901 Vinnytsa;;;01.09.2014;;Косій Д.В.;Эксплуатация;False;16.12.2014
RBS UB0902;Vinnytsa;RBS UB0902 м.В?нниця, вул.Примакова, 23-А;;;21.11.2014;;Косій Д.В.;Эксплуатация;False;26.09.2018
RBS UB0903;Vinnytsa;RBS UB0903 м.Вiнниця, перевулок К. Маркса, 19-А;;;27.04.2015;;Косій Д.В.;Эксплуатация;False;24.06.2016
RBS UB0904;м.Вiнниця, вул.Айвазовського, 4, труба;RBS UB0904 м.Вiнниця, вул.Айвазовського, 4, труба;;;11.09.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0905;ВiННИЦЯ (ВiННИЦЯ)510100000;RBS UB0905 м. Вінниця, 2-ий пров. Ботанічний, 1;;;29.05.2014;;Косій Д.В.;Эксплуатация;False;20.03.2018
RBS UB0907;ВiННИЦЯ (ВiННИЦЯ)510100000;RBS UB0907 ВiННИЦЯ (ВiННИЦЯ)510100000;;;25.05.2015;;Косій Д.В.;Эксплуатация;False;30.06.2015
RBS UB0908;;м. Вінниця, вул. Скалецького, 72;;;04.06.2015;;Косій Д.В.;Эксплуатация;False;25.09.2015
RBS UB0909;;RBS UB0909;;;28.05.2015;;Косій Д.В.;Эксплуатация;False;30.06.2015
RBS UB0910;;RBS UB0910;;;09.12.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0921;м.Вiнниця, вул.Максимовича, 19, труба;RBS UB0921 м.Вiнниця, вул.Максимовича, 19, труба;;;28.04.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0922;м.Вiнниця, вул.Генерала Арабея, 7, щогла на даху;RBS UB0922 м.Вiнниця, вул.Генерала Арабея, 7, щогла на даху;;;;;;Строящийся;False;
RBS UB0924;м.Вiнниця, вул.Грушевського, 13;RBS UB0924 м.Вiнниця, вул.Грушевського, 13;;;02.06.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0926;м.Вiнниця, вул.Київська, 78, щогла на даху;RBS UB0926 м.Вiнниця, вул.Київська, 78, щогла на даху;;;15.12.2014;;Косій Д.В.;Эксплуатация;False;24.09.2018
RBS UB0940;;RBS UB0940  м.Вiнниця, вул.50-р?ччя Перемоги, 16, ?снуюча вежа;;;24.11.2014;;Косій Д.В.;Эксплуатация;False;29.06.2017
RBS UB0944;;RBS UB0944;;;23.03.2015;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0947;;RBS UB0947;;;05.12.2014;;Косій Д.В.;Эксплуатация;False;10.02.2015
RBS UB0954;м. Вінниця, вул. Примакова, 72-Д;;;;02.02.2017;;Косій Д.В.;Эксплуатация;False;30.06.2017
RBS UB0964;м. Вінниця, вул. Привокзальна,106;;;;06.03.2017;;Косій Д.В.;Эксплуатация;False;27.06.2017
RBS UB0968;м.Вiнниця, перехрестя вул.Бучми та вул.Павленко, вежа;RBS UB0968 м.Вiнниця, перехрестя вул.Бучми та вул.Павленко, вежа;;;;;;Строящийся;False;
RBS UB0975;м.Вiнниця, перехрестя вул.Стахурського та вул.Квьятека, власна опора;RBS UB0975 м.Вiнниця, перехрестя вул.Стахурського та вул.Квьятека, власна опора;;;03.12.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB0978;;RBS UB0978  м.Вiнниця, вул.600-рiччя, 19, щогла на даху;;;17.03.2015;;Косій Д.В.;Эксплуатация;False;30.06.2015
RBS UB0979;м.Вiнниця, Хмельницьке шосе, 95;RBS UB0979 м.Вiнниця, Хмельницьке шосе, 95;;;17.03.2015;;Косій Д.В.;Эксплуатация;False;30.06.2015
RBS UB0982;Вінницька область, м. Вінниця, Лесі Українки (біля будинку №47);RBS UB0982 Вінницька область, м. Вінниця, вул. Лермонтова, 173;;;29.03.2018;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB1609; Вінниця, вул. Театральна, 15;;;;;;;Строящийся;False;
RBS UB1610;місто Вінниця, вулиця Пирогова, 47А, ТРЦ Ізумруд;;;;08.08.2018;;Косій Д.В.;Эксплуатация;False;08.08.2018
RBS UB1614;м.Вінниця, Хмельницьке шосе,2;;;;08.08.2018;;Косій Д.В.;Эксплуатация;False;08.08.2018
RBS UB1730;Вінницька обл., Вінниця, Ватутіна,18;RBS UB1730 Вінницька обл., м. Вінниця, вул. М. Шимка, 56;;;18.12.2017;;Косій Д.В.;Эксплуатация;False;18.12.2017
RBS UB1744;;RBS UB1744 м. Вінниця, вул. Келецька, 122а;;;12.07.2018;;Косій Д.В.;Эксплуатация;False;12.07.2018
RBS UB1753;Вінницька обл., м. Вінниця, вул. Нансена, 7;;;;17.05.2018;;Косій Д.В.;Эксплуатация;False;17.05.2018
RBS UB1754;м.Вiнниця, вул.Папанiна, 20, щогла на даху;RBS UB1754 м.Вiнниця, вул.Папанiна, 20, щогла на даху;;;15.05.2015;;Косій Д.В.;Эксплуатация;False;30.06.2015
RBS UB1767;Вінниця, Сергія Зулінського, 32;;;;03.09.2018;;Косій Д.В.;Эксплуатация;False;03.09.2018
RBS UB1807;м.Вiнниця, вул.Келецька, 53;RBS UB1807 м.Вiнниця, вул.Келецька, 53;;;20.11.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB1813;м. Вінниця, вул. Академіка Янгеля, 59;;;;30.08.2018;;Косій Д.В.;Эксплуатация;False;30.08.2018
RBS UB1817;м. Вінниця, вул. Карбишева;;;;30.05.2017;;Косій Д.В.;Эксплуатация;False;30.06.2017
RBS UB1826;Вінницька обл., м. Вінниця, вул. Пирогова, 57-А. Гуртожиток Вінницького медичного коледжу;;;;;;;Строящийся;False;
RBS UB1906;м.Вiнниця, вул.Привокзальна, 34;RBS UB1906 м.Вiнниця, вул.Привокзальна, 34;;;11.12.2014;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UB2814;м.Вiнниця, вул. Пирогова, 29;RBS UB2814 м.Вiнниця, вул. Пирогова, 29;;;12.12.2013;;Косій Д.В.;Эксплуатация;False;11.09.2017
RBS UB2901;Вінницька обл., м. Вінниця, вул. Володарського,26;;;;06.03.2017;;Косій Д.В.;Эксплуатация;False;06.03.2017
RBS UB6805;м. Вінниця, вул. Замостянська,27, магазин Монобренд;;;;17.05.2018;;Косій Д.В.;Эксплуатация;False;30.09.2018
RBS UBM001;Вінниця, Хмельницьке шосе, 7;;;;30.11.2017;27.12.2017;;Закрыт;False;30.11.2017
RBS UBM002;"м. Вінниця, Житомирське шосе, 6 ,  ТОВ ""РДО УКРАЇНА""";;;;31.10.2017;06.03.2018;;Закрыт;False;31.10.2017
RBS VIN001;м.Вiнниця, вул.Соборна,10;RBS VIN001 м.Вiнниця, вул.Соборна,10;Дог. №  VIN 001 вiд 29.09.2000р.;"В?н. дирекц?я ВАТ ""Укртелеком""";30.09.2000;19.01.2016;Косій Д.В.;Закрыт;False;30.09.2015
